chr	start	end	rDHS_accession	cCRE_accession	group
chr19	246841	247054	EH38D3030298	EH38E1929820	DNase-H3K4me3,CTCF-bound
chr19	247093	247443	EH38D3030299	EH38E1929821	DNase-H3K4me3,CTCF-bound
chr19	266735	266899	EH38D3030305	EH38E1929826	dELS,CTCF-bound
chr19	266946	267110	EH38D3030306	EH38E1929827	dELS,CTCF-bound
chr19	267117	267414	EH38D3030307	EH38E1929828	dELS,CTCF-bound
chr19	267415	267606	EH38D3030308	EH38E1929829	dELS,CTCF-bound
chr19	271881	272223	EH38D3030311	EH38E1929831	dELS
chr19	283412	283757	EH38D3030330	EH38E1929846	dELS
chr19	289646	289993	EH38D3030335	EH38E1929848	pELS
chr19	290169	290477	EH38D3030336	EH38E1929849	pELS,CTCF-bound
chr19	290538	290695	EH38D3030337	EH38E1929850	pELS,CTCF-bound
chr19	290773	291099	EH38D3030338	EH38E1929851	pELS,CTCF-bound
chr19	291148	291310	EH38D3030339	EH38E1929852	PLS,CTCF-bound
chr19	291316	291634	EH38D3030340	EH38E1929853	PLS
chr19	291661	291993	EH38D3030341	EH38E1929854	pELS,CTCF-bound
chr19	294486	294832	EH38D3030348	EH38E1929856	dELS,CTCF-bound
chr19	294901	295126	EH38D3030349	EH38E1929857	dELS,CTCF-bound
chr19	295154	295430	EH38D3030350	EH38E1929858	dELS,CTCF-bound
chr19	310429	310721	EH38D3030365	EH38E1929869	dELS,CTCF-bound
chr19	338437	338777	EH38D3030387	EH38E1929882	dELS
chr19	341629	341807	EH38D3030390	EH38E1929885	dELS,CTCF-bound
chr19	342725	343074	EH38D3030392	EH38E1929886	pELS
chr19	343154	343376	EH38D3030393	EH38E1929887	pELS,CTCF-bound
chr19	343642	343973	EH38D3030394	EH38E1929888	pELS
chr19	344005	344291	EH38D3030395	EH38E1929889	pELS
chr19	344477	344660	EH38D3030396	EH38E1929890	pELS
chr19	344678	345028	EH38D3030397	EH38E1929891	PLS,CTCF-bound
chr19	345034	345314	EH38D3030398	EH38E1929892	pELS,CTCF-bound
chr19	348181	348489	EH38D3030402	EH38E1929895	CTCF-only,CTCF-bound
chr19	371800	372141	EH38D3030418	EH38E1929903	dELS,CTCF-bound
chr19	372334	372675	EH38D3030420	EH38E1929905	dELS,CTCF-bound
chr19	373378	373543	EH38D3030421	EH38E1929906	DNase-H3K4me3,CTCF-bound
chr19	374185	374388	EH38D3030423	EH38E1929907	pELS
chr19	382676	382965	EH38D3030435	EH38E1929913	dELS
chr19	383989	384205	EH38D3030437	EH38E1929915	dELS,CTCF-bound
chr19	384294	384486	EH38D3030438	EH38E1929916	dELS,CTCF-bound
chr19	384560	384745	EH38D3030439	EH38E1929917	dELS,CTCF-bound
chr19	402033	402373	EH38D3030456	EH38E1929930	dELS,CTCF-bound
chr19	408598	408888	EH38D3030471	EH38E1929943	pELS
chr19	409098	409412	EH38D3030472	EH38E1929944	PLS,CTCF-bound
chr19	409454	409663	EH38D3030473	EH38E1929945	pELS,CTCF-bound
chr19	409667	409943	EH38D3030474	EH38E1929946	pELS,CTCF-bound
chr19	412399	412733	EH38D3030477	EH38E1929949	dELS,CTCF-bound
chr19	427101	427444	EH38D3030491	EH38E1929957	dELS
chr19	441149	441487	EH38D3030500	EH38E1929964	dELS
chr19	441585	441743	EH38D3030501	EH38E1929965	dELS,CTCF-bound
chr19	447859	448201	EH38D3030505	EH38E1929968	dELS
chr19	459725	459899	EH38D3030513	EH38E1929972	pELS,CTCF-bound
chr19	459910	460099	EH38D3030514	EH38E1929973	pELS,CTCF-bound
chr19	460106	460452	EH38D3030515	EH38E1929974	pELS,CTCF-bound
chr19	460956	461158	EH38D3030516	EH38E1929975	PLS,CTCF-bound
chr19	461833	462096	EH38D3030518	EH38E1929977	pELS
chr19	462169	462381	EH38D3030519	EH38E1929978	pELS,CTCF-bound
chr19	480006	480173	EH38D3030536	EH38E1929987	dELS,CTCF-bound
chr19	480179	480446	EH38D3030537	EH38E1929988	dELS,CTCF-bound
chr19	482598	482762	EH38D3030542	EH38E1929991	dELS,CTCF-bound
chr19	485409	485605	EH38D3030549	EH38E1929997	dELS,CTCF-bound
chr19	485637	485832	EH38D3030550	EH38E1929998	dELS
chr19	485899	486063	EH38D3030551	EH38E1929999	dELS,CTCF-bound
chr19	486133	486295	EH38D3030552	EH38E1930000	dELS
chr19	487881	488230	EH38D3030555	EH38E1930001	pELS,CTCF-bound
chr19	488579	488907	EH38D3030556	EH38E1930002	pELS,CTCF-bound
chr19	488922	489271	EH38D3030557	EH38E1930003	PLS,CTCF-bound
chr19	489339	489511	EH38D3030558	EH38E1930004	pELS,CTCF-bound
chr19	489656	489809	EH38D3030559	EH38E1930005	pELS,CTCF-bound
chr19	491475	491733	EH38D3030563	EH38E1930006	dELS
chr19	493414	493714	EH38D3030568	EH38E1930009	dELS
chr19	494134	494391	EH38D3030569	EH38E1930010	dELS
chr19	494408	494730	EH38D3030570	EH38E1930011	pELS
chr19	495424	495621	EH38D3030573	EH38E1930014	pELS,CTCF-bound
chr19	495666	495885	EH38D3030574	EH38E1930015	pELS,CTCF-bound
chr19	496355	496690	EH38D3030576	EH38E1930017	PLS
chr19	497115	497366	EH38D3030578	EH38E1930019	DNase-H3K4me3
chr19	497807	498075	EH38D3030580	EH38E1930021	pELS,CTCF-bound
chr19	498126	498387	EH38D3030581	EH38E1930022	pELS,CTCF-bound
chr19	498573	498847	EH38D3030582	EH38E1930023	DNase-H3K4me3
chr19	498956	499172	EH38D3030583	EH38E1930024	DNase-H3K4me3
chr19	506521	506672	EH38D3030592	EH38E1930032	pELS,CTCF-bound
chr19	506706	506950	EH38D3030593	EH38E1930033	pELS,CTCF-bound
chr19	507094	507435	EH38D3030594	EH38E1930034	pELS,CTCF-bound
chr19	507569	507794	EH38D3030595	EH38E1930035	PLS,CTCF-bound
chr19	507836	508056	EH38D3030596	EH38E1930036	PLS,CTCF-bound
chr19	510646	510996	EH38D3030601	EH38E1930041	dELS,CTCF-bound
chr19	511202	511388	EH38D3030602	EH38E1930042	dELS,CTCF-bound
chr19	511390	511562	EH38D3030603	EH38E1930043	dELS,CTCF-bound
chr19	511595	511943	EH38D3030604	EH38E1930044	dELS,CTCF-bound
chr19	512412	512696	EH38D3030606	EH38E1930046	dELS
chr19	512719	512893	EH38D3030607	EH38E1930047	dELS
chr19	513032	513346	EH38D3030608	EH38E1930048	dELS
chr19	516641	516892	EH38D3030616	EH38E1930051	dELS
chr19	517008	517240	EH38D3030617	EH38E1930052	dELS,CTCF-bound
chr19	517253	517440	EH38D3030618	EH38E1930053	dELS
chr19	517524	517686	EH38D3030619	EH38E1930054	dELS
chr19	517760	517945	EH38D3030620	EH38E1930055	dELS
chr19	518030	518269	EH38D3030621	EH38E1930056	dELS
chr19	518281	518629	EH38D3030622	EH38E1930057	dELS
chr19	518847	519150	EH38D3030623	EH38E1930058	dELS,CTCF-bound
chr19	524069	524415	EH38D3030631	EH38E1930065	dELS
chr19	524424	524619	EH38D3030632	EH38E1930066	dELS,CTCF-bound
chr19	525237	525561	EH38D3030633	EH38E1930067	dELS,CTCF-bound
chr19	528348	528687	EH38D3030638	EH38E1930070	dELS
chr19	528784	529084	EH38D3030639	EH38E1930071	dELS
chr19	530969	531290	EH38D3030642	EH38E1930074	pELS,CTCF-bound
chr19	531306	531464	EH38D3030643	EH38E1930075	pELS,CTCF-bound
chr19	531477	531824	EH38D3030644	EH38E1930076	PLS,CTCF-bound
chr19	531890	532153	EH38D3030645	EH38E1930077	pELS,CTCF-bound
chr19	532251	532478	EH38D3030646	EH38E1930078	pELS,CTCF-bound
chr19	532635	532921	EH38D3030647	EH38E1930079	pELS,CTCF-bound
